Year,Stage,Match,Team,Skip,1,2,3,4,5,6,7,8,9,10,11,Score,Ends,Outcome,Margin
2018,Seeding,6 vs. 6,QUE,Gagne,0,5,0,0,0,1,0,1,0,,,7,9,L,-2
2018,Seeding,7 vs. 7,NWT,Galusha,0,2,0,1,0,2,0,0,2,0,2,9,11,W,2
2018,Seeding,7 vs. 7,PEI,MacPhee,1,0,1,0,2,0,0,1,0,2,0,7,11,L,-2
2018,Seeding,8 vs. 8,YUK,Duncan,3,0,1,1,0,1,1,0,2,,,9,9,W,5
2018,Seeding,8 vs. 8,NUN,Shackelton,0,1,0,0,2,0,0,1,0,,,4,9,L,-5
2018,Champ pool,Draw 15,ONT,Duncan,1,1,0,1,0,1,0,0,1,0,,5,10,L,-2
2018,Champ pool,Draw 15,WC,Einarson,0,0,1,0,2,0,0,3,0,1,,7,10,W,2
2018,Champ pool,Draw 15,BC,Van Osch,0,1,0,1,0,0,1,0,,,,3,8,L,-7
2018,Champ pool,Draw 15,MAN,Jones,2,0,3,0,0,3,0,2,,,,10,8,W,7
2018,Champ pool,Draw 15,CAN,Englot,0,0,0,0,0,1,0,0,,,,1,8,L,-6
2018,Champ pool,Draw 15,NS,Arsenault,0,1,1,1,0,0,2,2,,,,7,8,W,6
2018,Champ pool,Draw 15,ALTA,Scheidegger,1,0,1,0,3,0,2,0,1,,,7,9,W,3
2018,Champ pool,Draw 15,NON,Fleury,0,0,0,1,0,2,0,1,0,,,4,9,L,-3
2018,Champ pool,Draw 16,CAN,Englot,0,0,1,0,1,0,1,0,,,,3,8,L,-5
2018,Champ pool,Draw 16,NON,Fleury,0,2,0,2,0,2,0,2,,,,8,8,W,5
2018,Champ pool,Draw 16,ALTA,Scheidegger,0,1,0,1,0,0,1,0,,,,3,8,L,-5
2018,Champ pool,Draw 16,NS,Arsenault,3,0,1,0,0,1,0,3,,,,8,8,W,5
2018,Champ pool,Draw 16,BC,Van Osch,0,0,2,0,1,0,0,0,2,0,,5,10,L,-1
2018,Champ pool,Draw 16,WC,Einarson,2,1,0,1,0,0,0,2,0,0,,6,10,W,1
2018,Champ pool,Draw 16,ONT,Duncan,0,0,1,0,1,0,1,0,,,,3,8,L,-8
2018,Champ pool,Draw 16,MAN,Jones,4,1,0,1,0,3,0,2,,,,11,8,W,8
2018,Champ pool,Draw 17,MAN,Jones,1,0,0,2,0,1,1,1,,,,6,8,W,4
2018,Champ pool,Draw 17,ALTA,Scheidegger,0,1,0,0,1,0,0,0,,,,2,8,L,-4
2018,Champ pool,Draw 17,WC,Einarson,0,1,0,0,2,0,1,1,0,0,,5,10,L,-3
2018,Champ pool,Draw 17,CAN,Englot,1,0,1,2,0,1,0,0,1,2,,8,10,W,3
2018,Champ pool,Draw 17,NON,Fleury,2,0,2,0,2,0,1,0,0,1,,8,10,W,2
2018,Champ pool,Draw 17,ONT,Duncan,0,1,0,2,0,1,0,2,0,0,,6,10,L,-2
2018,Champ pool,Draw 17,NS,Arsenault,2,0,3,0,1,0,1,3,,,,10,8,W,6
2018,Champ pool,Draw 17,BC,Van Osch,0,1,0,2,0,1,0,0,,,,4,8,L,-6
2018,Champ pool,Draw 18,NON,Fleury,0,2,0,0,2,0,2,0,0,1,,7,10,W,2
2018,Champ pool,Draw 18,BC,Van Osch,0,0,2,0,0,1,0,0,2,0,,5,10,L,-2
2018,Champ pool,Draw 18,NS,Arsenault,0,0,1,3,0,2,0,0,2,0,2,10,11,W,2
2018,Champ pool,Draw 18,ONT,Duncan,1,2,0,0,1,0,1,2,0,1,0,8,11,L,-2
2018,Champ pool,Draw 18,MAN,Jones,1,3,0,2,1,0,3,0,,,,10,8,W,6
2018,Champ pool,Draw 18,CAN,Englot,0,0,1,0,0,2,0,1,,,,4,8,L,-6
2018,Champ pool,Draw 18,WC,Einarson,1,1,0,1,1,0,0,1,0,1,,6,10,W,2
2018,Champ pool,Draw 18,ALTA,Scheidegger,0,0,2,0,0,0,2,0,0,0,,4,10,L,-2
2018,Playoffs,1 vs. 2,WC,Einarson,0,2,0,1,0,2,1,0,1,0,,7,10,L,-2
2018,Playoffs,1 vs. 2,MAN,Jones,0,0,2,0,3,0,0,2,0,2,,9,10,W,2
2018,Playoffs,3 vs. 4,NS,Arsenault,0,0,0,2,0,3,0,0,1,,,6,9,W,4
2018,Playoffs,3 vs. 4,NON,Fleury,0,0,0,0,1,0,0,1,0,,,2,9,L,-4
2018,Playoffs,Semifinal,WC,Einarson,2,0,3,0,4,1,0,1,0,1,,12,10,W,3
2018,Playoffs,Semifinal,NS,Arsenault,0,3,0,3,0,0,2,0,1,0,,9,10,L,-3
2018,Playoffs,Final,MAN,Jones,1,0,1,0,0,2,0,2,0,2,,8,10,W,2
2018,Playoffs,Final,WC,Einarson,0,2,0,1,1,0,1,0,1,0,,6,10,L,-2
2017,Pre-qualifying,Draw 1,NUN,Chislett,0,1,0,1,0,1,0,3,0,,,6,9,L,-5
2017,Pre-qualifying,Draw 1,NB,Adams,2,0,4,0,2,0,1,0,2,,,11,9,W,5
2017,Pre-qualifying,Draw 1,NWT,Galusha,0,0,2,0,4,0,2,1,0,,,9,9,W,3
2017,Pre-qualifying,Draw 1,YUK,Koltun,1,1,0,1,0,2,0,0,1,,,6,9,L,-3
2017,Pre-qualifying,Draw 2,NB,Adams,0,1,0,1,2,1,0,1,0,3,,9,10,W,2
2017,Pre-qualifying,Draw 2,YUK,Koltun,2,0,2,0,0,0,2,0,1,0,,7,10,L,-2
2017,Pre-qualifying,Draw 2,NUN,Chislett,1,0,0,0,0,0,0,1,,,,2,8,L,-8
2017,Pre-qualifying,Draw 2,NWT,Galusha,0,3,1,0,4,1,1,0,,,,10,8,W,8
2017,Pre-qualifying,Draw 3,YUK,Koltun,3,0,3,1,3,1,1,,,,,12,7,W,11
2017,Pre-qualifying,Draw 3,NUN,Chislett,0,1,0,0,0,0,0,,,,,1,7,L,-11
2017,Pre-qualifying,Draw 3,NB,Adams,1,0,1,0,0,3,2,0,2,,,9,9,W,5
2017,Pre-qualifying,Draw 3,NWT,Galusha,0,1,0,0,1,0,0,2,0,,,4,9,L,-5
2017,Pre-qualifying,Final,NB,Adams,0,0,1,0,0,1,0,0,1,0,,3,10,L,-2
2017,Pre-qualifying,Final,NWT,Galusha,0,1,0,1,1,0,0,1,0,1,,5,10,W,2
2017,Round robin,Draw 1,MAN,Englot,0,0,1,0,0,3,0,1,0,2,,7,10,W,1
2017,Round robin,Draw 1,QUE,Belisle,0,1,0,1,1,0,2,0,1,0,,6,10,L,-1
2017,Round robin,Draw 1,ONT,Homan,1,1,0,2,0,0,0,1,0,0,2,7,11,W,2
2017,Round robin,Draw 1,CAN,Carey,0,0,1,0,0,1,2,0,0,1,0,5,11,L,-2
2017,Round robin,Draw 1,NS,Mattattall,0,2,0,0,1,0,0,1,0,1,,5,10,W,1
2017,Round robin,Draw 1,BC,Mallett,0,0,1,0,0,1,0,0,2,0,,4,10,L,-1
2017,Round robin,Draw 2,NWT,Galusha,2,0,0,2,0,2,2,0,1,,,9,9,W,5
2017,Round robin,Draw 2,PEI,MacPhee,0,0,1,0,2,0,0,1,0,,,4,9,L,-5
2017,Round robin,Draw 2,NON,McCarville,0,3,0,1,0,0,2,0,0,,,6,9,L,-5
2017,Round robin,Draw 2,ALTA,Kleibrink,0,0,2,0,2,3,0,3,1,,,11,9,W,5
2017,Round robin,Draw 2,SSK,Barker,1,0,0,1,0,0,1,0,1,0,,4,10,L,-3
2017,Round robin,Draw 2,NL,Curtis,0,2,0,0,1,0,0,3,0,1,,7,10,W,3
2017,Round robin,Draw 3,CAN,Carey,0,2,0,0,0,1,0,2,1,,,6,9,W,2
2017,Round robin,Draw 3,NS,Mattattall,0,0,0,2,1,0,1,0,0,,,4,9,L,-2
