Year,Stage,Match,Sheet,Team,Skip,LRFE,1,2,3,4,5,6,7,8,9,10,11,Score,Ends,Outcome,Margin
2017,Round robin,Draw 7,B,Alberta,Bottcher,0,1,0,0,2,0,1,0,2,0,,,6,9,L,-4
2017,Round robin,Draw 7,C,Northern Ontario,Jacobs,1,0,3,0,0,1,0,2,1,,,,7,8,W,5
2017,Round robin,Draw 7,C,Ontario,Howard,0,0,0,1,0,0,1,0,0,,,,2,8,L,-5
2017,Round robin,Draw 7,D,Saskatchewan,Casey,1,0,2,0,1,0,1,0,1,0,,,5,9,L,-5
2017,Round robin,Draw 7,D,Newfoundland and Labrador,Gushue,0,1,0,2,0,2,0,1,0,4,,,10,9,W,5
2017,Round robin,Draw 8,A,Newfoundland and Labrador,Gushue,1,1,0,0,0,0,1,0,2,0,0,,4,10,L,-4
2017,Round robin,Draw 8,A,Northwest Territories,J.Koe,0,0,2,0,0,1,0,1,0,1,3,,8,10,W,4
2017,Round robin,Draw 8,B,Nova Scotia,Murphy,1,0,1,0,2,0,0,1,0,1,,,5,9,L,-3
2017,Round robin,Draw 8,B,Canada,K.Koe,0,0,0,3,0,0,2,0,3,0,,,8,9,W,3
2017,Round robin,Draw 8,C,New Brunswick,Kennedy,1,1,0,0,3,1,0,2,0,0,0,,7,10,L,-2
2017,Round robin,Draw 8,C,Manitoba,McEwen,0,0,2,0,0,0,1,0,2,2,2,,9,10,W,2
2017,Round robin,Draw 8,D,Ontario,Howard,1,1,0,0,1,0,1,0,2,0,1,0,6,11,L,-1
2017,Round robin,Draw 8,D,Quebec,Ménard,0,0,0,1,0,2,0,2,0,1,0,1,7,11,W,1
2017,Round robin,Draw 9,A,Nova Scotia,Murphy,0,0,0,0,2,0,0,1,0,,,,3,8,L,-5
2017,Round robin,Draw 9,A,Northern Ontario,Jacobs,1,2,0,2,0,3,0,0,1,,,,8,8,W,5
2017,Round robin,Draw 9,B,New Brunswick,Kennedy,1,1,0,0,1,0,0,2,0,1,1,0,6,11,L,-1
2017,Round robin,Draw 9,B,Saskatchewan,Casey,0,0,1,0,0,2,1,0,2,0,0,1,7,11,W,1
2017,Round robin,Draw 9,C,Quebec,Ménard,1,0,0,0,0,1,0,1,1,1,0,1,5,11,W,1
2017,Round robin,Draw 9,C,British Columbia,Morris,0,1,0,0,0,0,1,0,0,0,2,0,4,11,L,-1
2017,Round robin,Draw 9,D,Northwest Territories,J.Koe,0,0,0,0,0,1,0,2,0,,,,3,8,L,-7
2017,Round robin,Draw 9,D,Alberta,Bottcher,1,0,2,2,2,0,2,0,2,,,,10,8,W,7
2017,Round robin,Draw 10,A,Saskatchewan,Casey,1,3,0,0,1,0,5,0,0,,,,9,8,W,4
2017,Round robin,Draw 10,A,Ontario,Howard,0,0,0,2,0,2,0,1,0,,,,5,8,L,-4
2017,Round robin,Draw 10,B,Northern Ontario,Jacobs,0,0,2,0,0,0,0,2,0,1,,,5,9,L,-2
2017,Round robin,Draw 10,B,Newfoundland and Labrador,Gushue,1,2,0,0,0,2,1,0,2,0,,,7,9,W,2
2017,Round robin,Draw 10,C,Canada,K.Koe,1,0,0,0,0,1,0,2,0,1,0,,4,10,L,-2
2017,Round robin,Draw 10,C,Alberta,Bottcher,0,0,0,0,1,0,2,0,2,0,1,,6,10,W,2
2017,Round robin,Draw 10,D,British Columbia,Morris,1,2,0,2,1,0,0,0,2,0,,,7,9,W,2
